DATE,CSUSHPISA
2014-12-01,168.06599999999997
2015-01-01,168.67
2015-02-01,169.15400000000002
2015-03-01,169.83
2015-04-01,170.328
2015-05-01,170.907
2015-06-01,171.485
2015-07-01,172.158
2015-08-01,172.96099999999998
2015-09-01,173.856
2015-10-01,174.81900000000002
2015-11-01,175.761
2015-12-01,176.55700000000002
2016-01-01,177.292
2016-02-01,177.66099999999997
2016-03-01,178.19400000000002
2016-04-01,178.81400000000002
2016-05-01,179.484
2016-06-01,180.135
2016-07-01,180.895
2016-08-01,181.905
2016-09-01,182.872
2016-10-01,183.782
2016-11-01,184.761
2016-12-01,185.692
2017-01-01,186.78
2017-02-01,187.30599999999998
2017-03-01,188.051
2017-04-01,188.833
2017-05-01,189.74200000000002
2017-06-01,190.628
2017-07-01,191.576
2017-08-01,192.797
2017-09-01,193.84900000000002
2017-10-01,194.81599999999997
2017-11-01,195.88099999999997
2017-12-01,197.02900000000002
2018-01-01,198.15900000000002
2018-02-01,199.136
2018-03-01,200.067
2018-04-01,200.90099999999998
2018-05-01,201.7
2018-06-01,202.483
2018-07-01,203.12400000000002
2018-08-01,203.891
2018-09-01,204.456
2018-10-01,205.053
2018-11-01,205.465
2018-12-01,205.82299999999998
2019-01-01,206.199
2019-02-01,206.653
2019-03-01,207.27700000000002
2019-04-01,207.981
2019-05-01,208.64700000000002
2019-06-01,209.114
2019-07-01,209.653
2019-08-01,210.396
2019-09-01,211.053
2019-10-01,211.653
2019-11-01,212.457
2019-12-01,213.37
2020-01-01,214.387
2020-02-01,215.46200000000002
2020-03-01,216.715
2020-04-01,217.554
2020-05-01,217.81
2020-06-01,218.356
2020-07-01,219.899
2020-08-01,222.735
2020-09-01,225.954
2020-10-01,229.442
2020-11-01,232.65599999999998
2020-12-01,235.583
2021-01-01,238.53
2021-02-01,241.61
2021-03-01,245.547
2021-04-01,249.84599999999998
2021-05-01,254.382
2021-06-01,259.027
